"","Player","Offense","Defense","Ovr","OffTO_multiplied","OReb_multiplied","OTS_multiplied","DefTO_multiplied","DReb_multiplied","DTS_multiplied","season1","season2"
"113","Marcelo Huertas",0.53,1.16,1.69,-0.32,0.07,0.83,-0.12,0.38,0.85,2014,2016
"114","Mike Dunleavy",1.79,-0.1,1.69,0.9,-0.6,1.5,-0.4,0.9,-0.62,2014,2016
"115","Clint Capela",0.07,1.61,1.68,-0.16,1.31,-1.2,0.95,-0.23,0.81,2014,2016
"116","Alan Anderson",-0.65,2.32,1.68,0.61,-0.08,-1.26,0.55,-0.3,1.98,2014,2016
"117","Anthony Tolliver",1.83,-0.17,1.66,0.9,-0.48,1.25,0.44,-0.13,-0.56,2014,2016
"118","Brook Lopez",0.03,1.6,1.64,0.01,-0.9,1.18,-0.84,1.63,0.94,2014,2016
"119","Aaron Brooks",2.03,-0.43,1.6,0.52,0.21,1.16,-0.65,0.4,-0.12,2014,2016
"120","Karl-Anthony Towns",2.33,-0.76,1.57,0.08,-0.45,2.85,-0.76,0.34,-0.42,2014,2016
"121","Marcus Morris Sr.",1.34,0.23,1.57,0.61,0.2,0.56,-0.12,0.95,-0.52,2014,2016
"122","Rodney Hood",1.47,0.06,1.53,-0.06,0.24,1.29,-0.26,0.14,0.53,2014,2016
"123","Tarik Black",0.33,1.18,1.51,-0.63,1.01,-0.38,-0.28,1.12,0.07,2014,2016
"124","Marc Gasol",0.31,1.2,1.51,-0.13,-0.31,0.94,0.31,0.87,-0.07,2014,2016
"125","Trevor Booker",0.77,0.73,1.51,-1.23,1.82,0.05,0.48,0.16,0.11,2014,2016
"126","Victor Oladipo",1.85,-0.35,1.49,0.74,0.11,1.21,0.26,-0.24,-0.11,2014,2016
"127","Tyler Hansbrough",1.83,-0.36,1.47,-0.04,0.47,1.33,0.98,-0.49,-0.95,2014,2016
"128","Rondae Hollis-Jefferson",-0.61,2.07,1.46,-0.16,0.56,-0.82,0.67,0.4,1.19,2014,2016
"129","Andre Drummond",0.77,0.68,1.46,-0.23,1.39,-0.52,-0.24,0.66,0.38,2014,2016
"130","Kemba Walker",1.4,0.03,1.44,1.96,-0.13,-0.77,-0.22,0.48,-0.01,2014,2016
"131","Dorell Wright",1.17,0.25,1.42,0.67,-0.44,0.83,0.09,0.25,0.1,2014,2016
"132","DeMarre Carroll",1.42,-0.01,1.4,-0.03,0.63,0.74,0.94,-0.18,-0.68,2014,2016
